Site;X;Y;CellName;AZIMUT
S00001;121650;487010;08L000011;90
S00001;121650;487010;08L000012;210
S00001;121650;487010;08L000013;330
S00003;121290;485650;08L000031;90
S00003;121290;485650;08L000032;210
S00003;121290;485650;08L000033;330
S00004;120489;486149;08L000041;90
S00004;120489;486149;08L000042;210
S00004;120489;486149;08L000043;330
S00007;118765;483690;08L000071;90
S00007;118765;483690;08L000072;210
S00007;118765;483690;08L000073;330
S00009;118320;489950;08L000091;90
S00009;118320;489950;08L000092;210
S00009;118320;489950;08L000093;330
S00010;118977;486292;08L000101;90
S00010;118977;486292;08L000102;210
S00010;118977;486292;08L000103;330
S00011;121320;491000;08L000111;90
S00011;121320;491000;08L000112;210
S00011;121320;491000;08L000113;330
S00013;124190;486880;08L000131;90
S00013;124190;486880;08L000132;210
S00013;124190;486880;08L000133;330
S00014;126110;489307;08L000141;130
S00014;126110;489307;08L000142;250
S00014;126110;489307;08L000143;350
S00015;122576;489495;08L000151;90
S00015;122576;489495;08L000152;210
S00015;122576;489495;08L000153;330
S00019;163360;378164;08L000191;50
S00019;163360;378164;08L000192;170
S00019;163360;378164;08L000193;290
S00020;125409;480903;08L000201;60
S00020;125409;480903;08L000202;200
S00020;125409;480903;08L000203;300
S00021;158493;382296;08L000211;60
S00021;158493;382296;08L000212;180
S00021;158493;382296;08L000213;300
S00023;102885;397981;08L000231;90
S00023;102885;397981;08L000232;210
S00023;102885;397981;08L000233;330
S00026;92474;437279;08L000261;40
S00026;92474;437279;08L000262;160
S00026;92474;437279;08L000263;250
S00027;109912;478449;08L000271;60
S00027;109912;478449;08L000272;210
S00027;109912;478449;08L000273;330
S00029;90951;437429;08L000291;60
S00029;90951;437429;08L000292;180
S00029;90951;437429;08L000293;300
S00031;93701;433848;08L000311;60
S00031;93701;433848;08L000312;180
S00031;93701;433848;08L000313;300
S00032;92717;433600;08L000321;60
S00032;92717;433600;08L000322;180
S00032;92717;433600;08L000323;300
S00033;93809;438288;08L000331;60
S00033;93809;438288;08L000332;180
S00033;93809;438288;08L000333;300
S00034;94780;432240;08L000341;60
S00034;94780;432240;08L000342;180
S00034;94780;432240;08L000343;300
S00035;93205;431759;08L000351;60
S00035;93205;431759;08L000352;180
S00035;93205;431759;08L000353;300
S00036;87411;435328;08L000361;60
S00036;87411;435328;08L000362;180
S00036;87411;435328;08L000363;300
S00037;91460;439630;08L000371;60
S00037;91460;439630;08L000372;180
S00037;91460;439630;08L000373;300
S00038;97650;440817;08L000381;60
S00038;97650;440817;08L000382;180
S00038;97650;440817;08L000383;300
S00039;68995;444580;08L000391;145
S00039;68995;444580;08L000392;265
S00039;68995;444580;08L000393;25
S00040;103261;476441;08L000401;60
S00040;103261;476441;08L000402;180
S00040;103261;476441;08L000403;300
S00043;81230;429970;08L000431;60
S00043;81230;429970;08L000432;180
S00043;81230;429970;08L000433;300
S00045;100548;439154;08L000451;90
S00045;100548;439154;08L000452;200
S00045;100548;439154;08L000453;310
S00047;96904;429978;08L000471;140
S00047;96904;429978;08L000472;260
S00047;96904;429978;08L000473;20
S00048;71965;437725;08L000481;40
S00048;71965;437725;08L000482;160
S00048;71965;437725;08L000483;310
S00049;84100;439100;08L000491;60
S00049;84100;439100;08L000492;180
S00049;84100;439100;08L000493;300
S00050;68100;441030;08L000501;140
S00050;68100;441030;08L000502;260
S00050;68100;441030;08L000503;20
S00053;81320;454780;08L000531;120
S00053;81320;454780;08L000532;240
S00053;81320;454780;08L000533;340
S00054;82891;454030;08L000541;120
S00054;82891;454030;08L000542;240
S00054;82891;454030;08L000543;0
S00055;82990;452609;08L000551;120
S00055;82990;452609;08L000552;240
S00055;82990;452609;08L000553;0
S00056;80178;454539;08L000561;120
S00056;80178;454539;08L000562;240
S00056;80178;454539;08L000563;0
S00057;80319;451900;08L000571;120
S00057;80319;451900;08L000572;240
S00057;80319;451900;08L000573;0
S00058;81606;449966;08L000581;140
S00058;81606;449966;08L000582;240
S00058;81606;449966;08L000583;30
S00059;79422;456528;08L000591;120
S00059;79422;456528;08L000592;240
S00059;79422;456528;08L000593;0
S00061;97427;433559;08L000611;60
S00061;97427;433559;08L000612;180
S00061;97427;433559;08L000613;300
S00062;136295;455884;08L000621;60
S00062;136295;455884;08L000622;180
S00062;136295;455884;08L000623;320
S00064;136969;453785;08L000641;60
S00064;136969;453785;08L000642;180
S00064;136969;453785;08L000643;300
S00065;135171;455151;08L000651;60
S00065;135171;455151;08L000652;180
S00065;135171;455151;08L000653;300
S00066;85268;459385;08L000661;75
S00066;85268;459385;08L000662;195
S00066;85268;459385;08L000663;315
S00067;139412;455462;08L000671;60
S00067;139412;455462;08L000672;180
S00067;139412;455462;08L000673;270
